iter	Passed	Remaining
174	660	3113
175	661	3098
176	663	3085
177	665	3075
178	667	3061
179	670	3056
180	673	3048
181	675	3034
182	678	3029
183	680	3019
184	682	3007
185	690	3023
186	692	3008
187	696	3010
188	710	3047
189	712	3039
190	714	3026
191	722	3041
192	724	3028
193	725	3014
194	727	3002
195	730	2996
196	741	3023
197	742	3009
198	744	2996
199	746	2985
200	751	2989
201	754	2982
202	756	2968
203	758	2959
204	760	2948
205	761	2936
206	768	2944
207	770	2931
208	771	2919
209	773	2907
210	774	2896
211	775	2884
212	777	2871
213	782	2873
214	784	2865
215	786	2854
216	787	2843
217	789	2830
218	790	2819
219	791	2807
220	793	2795
221	801	2809
222	802	2797
223	804	2786
224	805	2775
225	807	2764
226	808	2753
227	814	2757
228	815	2746
229	820	2748
230	827	2756
231	830	2749
232	832	2740
233	835	2735
234	837	2725
235	838	2714
236	839	2703
237	845	2706
238	848	2700
239	850	2692
240	854	2692
241	861	2698
242	862	2688
243	864	2678
244	866	2669
245	868	2661
246	869	2652
247	877	2660
248	882	2660
249	883	2650
250	884	2639
251	885	2629
252	892	2634
253	894	2626
254	895	2616
255	897	2609
256	900	2603
257	910	2618
258	911	2608
259	913	2600
260	914	2589
261	915	2579
262	917	2570
263	926	2583
264	928	2574
265	930	2568
266	931	2558
267	944	2579
268	961	2612
269	965	2609
270	978	2631
271	979	2622
272	981	2612
273	989	2622
274	991	2612
275	994	2608
276	996	2601
277	1003	2606
278	1008	2604
279	1010	2599
280	1014	2596
281	1020	2598
282	1022	2589
283	1024	2582
284	1025	2573
285	1027	2564
286	1028	2556
287	1031	2549
288	1033	2541
289	1034	2533
290	1036	2525
291	1037	2516
292	1039	2508
293	1052	2527
294	1054	2519
295	1055	2510
296	1065	2521
297	1068	2517
298	1070	2509
299	1071	2500
300	1074	2494
301	1077	2489
302	1078	2482
303	1083	2481
304	1085	2474
305	1087	2466
306	1089	2459
307	1091	2452
308	1092	2443
309	1095	2437
310	1106	2450
311	1109	2447
312	1116	2451
313	1120	2448
314	1122	2440
315	1133	2452
316	1135	2445
317	1137	2439
318	1140	2434
319	1141	2425
320	1143	2418
321	1144	2410
322	1146	2402
323	1148	2397
324	1157	2404
325	1158	2395
326	1160	2387
327	1161	2379
328	1162	2371
329	1163	2362
330	1164	2353
331	1169	2353
332	1171	2346
333	1172	2338
334	1173	2330
335	1175	2322
336	1176	2314
337	1177	2305
338	1178	2297
339	1184	2298
340	1185	2291
341	1187	2284
342	1188	2276
343	1189	2268
344	1190	2259
345	1191	2251
346	1191	2243
347	1199	2247
348	1200	2239
349	1202	2232
350	1203	2225
351	1204	2217
352	1206	2210
353	1207	2203
354	1212	2202
355	1213	2195
356	1214	2188
357	1216	2181
358	1217	2174
359	1218	2166
360	1219	2159
361	1220	2151
362	1221	2143
363	1222	2135
364	1227	2135
365	1228	2128
366	1230	2122
367	1231	2114
368	1232	2107
369	1233	2099
370	1234	2092
371	1234	2084
372	1235	2077
373	1236	2069
374	1237	2062
375	1242	2061
376	1243	2054
377	1244	2047
378	1245	2040
379	1246	2033
380	1247	2026
381	1248	2019
382	1249	2012
383	1250	2005
384	1251	1998
385	1255	1997
386	1256	1990
387	1257	1983
388	1259	1977
389	1260	1970
390	1261	1964
391	1263	1959
392	1264	1952
393	1265	1945
394	1266	1939
395	1272	1940
396	1275	1936
397	1276	1930
398	1277	1923
399	1278	1917
400	1279	1910
401	1280	1904
402	1281	1897
403	1282	1891
404	1283	1885
405	1284	1879
406	1286	1873
407	1289	1871
408	1290	1865
409	1292	1859
410	1298	1860
411	1300	1856
412	1302	1851
413	1303	1845
414	1304	1839
415	1315	1846
416	1316	1841
417	1318	1836
418	1320	1830
419	1322	1825
420	1323	1820
421	1330	1822
422	1332	1817
423	1334	1812
424	1335	1807
425	1338	1803
426	1339	1797
427	1345	1798
428	1347	1792
429	1348	1787
430	1350	1782
431	1351	1777
432	1353	1772
433	1354	1766
434	1360	1767
435	1362	1762
436	1363	1756
437	1365	1751
438	1367	1747
439	1368	1742
440	1370	1736
441	1375	1736
442	1379	1734
443	1382	1730
444	1384	1726
445	1385	1721
446	1392	1722
447	1395	1719
448	1396	1714
449	1399	1710
450	1401	1705
451	1408	1707
452	1410	1702
453	1413	1699
454	1415	1694
455	1416	1689
456	1421	1688
457	1424	1686
458	1426	1680
459	1428	1676
460	1429	1671
461	1434	1670
462	1436	1665
463	1438	1661
464	1439	1655
465	1440	1651
466	1442	1645
467	1443	1641
468	1445	1636
469	1451	1636
470	1453	1632
471	1455	1627
472	1457	1623
473	1458	1618
474	1459	1613
475	1461	1608
476	1467	1609
477	1469	1604
478	1471	1600
479	1473	1595
480	1474	1591
481	1476	1586
482	1481	1585
483	1483	1581
484	1485	1577
485	1488	1573
486	1489	1568
487	1492	1565
488	1501	1568
489	1502	1564
490	1505	1560
491	1506	1555
492	1514	1557
493	1516	1552
494	1517	1548
495	1519	1544
496	1522	1540
497	1537	1549
498	1538	1544
499	1551	1551
500	1553	1547
501	1559	1547
502	1562	1543
503	1565	1540
504	1566	1535
505	1568	1531
506	1570	1526
507	1575	1525
508	1576	1520
509	1577	1515
510	1578	1510
511	1579	1505
512	1580	1500
513	1581	1495
514	1582	1490
515	1583	1485
516	1584	1480
517	1585	1475
518	1591	1475
519	1593	1470
520	1594	1465
521	1596	1462
522	1598	1458
523	1600	1453
524	1601	1448
525	1608	1449
526	1609	1444
527	1610	1439
528	1612	1435
529	1613	1431
530	1615	1426
531	1616	1421
532	1623	1422
533	1624	1417
534	1625	1413
535	1627	1408
536	1628	1404
537	1629	1399
538	1630	1394
539	1631	1389
540	1637	1389
541	1639	1385
542	1641	1381
543	1642	1377
544	1644	1372
545	1645	1368
546	1646	1363
547	1652	1362
548	1654	1358
549	1655	1354
550	1656	1349
551	1657	1345
552	1658	1340
553	1659	1336
554	1661	1331
555	1662	1327
556	1667	1325
557	1668	1321
558	1669	1317
559	1670	1312
560	1671	1308
561	1673	1304
562	1675	1300
563	1676	1296
564	1678	1292
565	1681	1289
566	1682	1285
567	1684	1280
568	1685	1276
569	1687	1272
570	1688	1268
571	1691	1265
572	1694	1262
573	1696	1258
574	1697	1254
575	1698	1250
576	1699	1246
577	1701	1242
578	1702	1237
579	1709	1237
580	1711	1234
581	1713	1230
582	1714	1226
583	1716	1222
584	1717	1218
585	1718	1213
586	1724	1213
587	1726	1209
588	1727	1205
589	1730	1202
590	1732	1199
591	1741	1200
592	1743	1196
593	1744	1192
594	1747	1189
595	1748	1185
596	1754	1184
597	1756	1180
598	1764	1181
599	1769	1179
600	1772	1176
601	1774	1173
602	1786	1176
603	1789	1173
604	1792	1170
605	1793	1166
606	1795	1162
607	1808	1166
608	1823	1170
609	1839	1176
610	1841	1172
611	1842	1168
612	1844	1164
613	1852	1164
614	1853	1160
615	1855	1156
616	1856	1152
617	1858	1148
618	1860	1145
619	1865	1143
620	1869	1141
621	1877	1140
622	1879	1137
623	1883	1134
624	1885	1131
625	1891	1130
626	1892	1126
627	1894	1122
628	1895	1118
629	1897	1114
630	1899	1110
631	1905	1109
632	1907	1105
633	1909	1102
634	1911	1098
635	1913	1094
636	1914	1091
637	1921	1090
638	1923	1086
639	1924	1082
640	1925	1078
641	1928	1075
642	1929	1071
643	1930	1067
644	1938	1067
645	1941	1063
646	1944	1060
647	1945	1056
648	1946	1052
649	1954	1052
650	1959	1050
651	1960	1046
652	1962	1042
653	1970	1042
654	1975	1040
655	1976	1036
656	1978	1032
657	1985	1032
658	1990	1030
659	1992	1026
660	1994	1022
661	2001	1021
662	2004	1018
663	2006	1015
664	2007	1011
665	2009	1007
666	2018	1007
667	2030	1009
668	2033	1006
669	2036	1003
670	2047	1003
671	2049	1000
672	2051	996
673	2056	994
674	2058	991
675	2060	987
676	2061	983
677	2062	979
678	2063	975
679	2065	971
680	2067	968
681	2072	966
682	2073	962
683	2075	958
684	2077	955
685	2078	951
686	2082	948
687	2085	945
688	2088	942
689	2089	938
690	2090	935
691	2092	931
692	2094	927
693	2099	925
694	2101	922
695	2103	918
696	2116	920
697	2121	917
698	2123	914
699	2125	910
700	2130	908
701	2132	905
702	2139	903
703	2143	901
704	2145	897
705	2147	894
706	2148	890
707	2154	888
708	2157	885
709	2159	882
710	2161	878
711	2162	874
712	2164	871
713	2169	868
714	2170	865
715	2172	861
716	2180	860
717	2185	858
718	2187	854
719	2188	851
720	2190	847
721	2197	846
722	2199	842
723	2200	838
724	2222	842
725	2233	843
726	2235	839
727	2236	835
728	2238	832
729	2248	831
730	2249	827
731	2252	824
732	2254	821
733	2261	819
734	2263	816
735	2264	812
736	2267	809
737	2279	809
738	2281	805
739	2282	802
740	2284	798
741	2285	794
742	2294	793
743	2296	790
744	2299	786
745	2301	783
746	2311	782
747	2313	779
748	2315	775
749	2316	772
750	2325	770
751	2327	767
752	2329	764
753	2331	760
754	2338	758
755	2339	755
756	2341	751
757	2343	748
758	2344	744
759	2346	740
760	2351	738
761	2353	734
762	2355	731
763	2357	728
764	2358	724
765	2360	720
766	2369	719
767	2370	716
768	2372	712
769	2373	709
770	2375	705
771	2376	701
772	2388	701
773	2390	697
774	2393	694
775	2402	693
776	2404	689
777	2405	686
778	2406	682
779	2408	679
780	2418	678
781	2419	674
782	2421	671
783	2422	667
784	2430	665
785	2432	662
786	2433	658
787	2434	655
788	2436	651
789	2438	648
790	2445	646
791	2447	642
792	2448	639
793	2449	635
794	2452	632
795	2453	628
796	2459	626
797	2460	622
798	2462	619
799	2463	615
800	2464	612
801	2466	608
802	2467	605
803	2473	603
804	2475	599
805	2476	596
806	2478	592
807	2480	589
808	2481	585
809	2483	582
810	2490	580
811	2494	577
812	2496	574
813	2497	570
814	2498	567
815	2499	563
816	2505	561
817	2507	557
818	2510	554
819	2511	551
820	2513	547
821	2514	544
822	2521	542
823	2525	539
824	2526	536
825	2528	532
826	2529	529
827	2530	525
828	2536	523
829	2537	519
830	2540	516
831	2541	513
832	2542	509
833	2543	506
834	2544	502
835	2546	499
836	2552	497
837	2553	493
838	2554	490
839	2555	486
840	2556	483
841	2557	479
842	2558	476
843	2560	473
844	2561	469
845	2566	467
846	2568	463
847	2570	460
848	2571	457
849	2572	453
850	2573	450
851	2575	447
852	2576	444
853	2584	441
854	2585	438
855	2588	435
856	2589	432
857	2591	428
858	2592	425
859	2598	423
860	2600	419
861	2602	416
862	2603	413
863	2605	410
864	2606	406
865	2607	403
866	2613	400
867	2616	397
868	2619	394
869	2621	391
870	2623	388
871	2627	385
872	2629	382
873	2631	379
874	2632	376
875	2634	372
876	2635	369
877	2636	366
878	2637	363
879	2638	359
880	2644	357
881	2645	353
882	2647	350
883	2648	347
884	2649	344
885	2650	341
886	2652	337
887	2653	334
888	2658	332
889	2661	328
890	2663	325
891	2665	322
892	2667	319
893	2668	316
894	2669	313
895	2677	310
896	2678	307
897	2679	304
898	2698	303
899	2700	300
900	2701	296
901	2709	294
902	2713	291
903	2715	288
904	2716	285
905	2724	282
906	2726	279
907	2728	276
908	2730	273
909	2738	270
910	2740	267
911	2742	264
912	2744	261
913	2753	259
914	2756	256
915	2757	252
916	2759	249
917	2762	246
918	2768	243
919	2769	240
920	2773	237
921	2774	234
922	2777	231
923	2787	229
924	2788	226
925	2789	222
926	2791	219
927	2792	216
928	2799	213
929	2802	210
930	2804	207
931	2806	204
932	2807	201
933	2812	198
934	2813	195
935	2814	192
936	2816	189
937	2817	186
938	2818	183
939	2819	179
940	2820	176
941	2821	173
942	2822	170
943	2827	167
944	2828	164
945	2830	161
946	2831	158
947	2832	155
948	2833	152
949	2834	149
950	2836	146
951	2837	143
952	2838	139
953	2840	136
954	2842	133
955	2843	130
956	2844	127
957	2845	124
958	2846	121
959	2848	118
960	2849	115
961	2850	112
962	2851	109
963	2857	106
964	2858	103
965	2859	100
966	2860	97
967	2862	94
968	2863	91
969	2864	88
970	2865	85
971	2866	82
972	2867	79
973	2869	76
974	2870	73
975	2871	70
976	2872	67
977	2873	64
978	2874	61
979	2875	58
980	2876	55
981	2877	52
982	2878	49
983	2879	46
984	2881	43
985	2882	40
986	2884	37
987	2885	35
988	2886	32
989	2887	29
990	2889	26
991	2890	23
992	2891	20
993	2896	17
994	2897	14
995	2899	11
996	2900	8
997	2901	5
998	2902	2
999	2903	0
